t,x1,y1,z1,x2,y2,z2
1.235000e+02,5.166175e-02,5.555305e-02,5.256293e-02,2.752425e-02,6.973938e-02,3.810973e-02
1.240000e+02,5.357927e-02,5.493340e-02,4.195825e-02,3.049548e-02,6.918485e-02,3.456472e-02
1.245000e+02,5.389559e-02,5.631859e-02,5.221644e-02,3.059777e-02,7.025381e-02,2.759889e-02
1.250000e+02,5.208117e-02,5.595685e-02,6.355169e-02,2.817679e-02,6.977517e-02,3.057282e-02
1.255000e+02,5.197883e-02,4.950040e-02,6.238349e-02,2.852063e-02,6.347922e-02,3.748341e-02
1.260000e+02,5.121284e-02,5.069364e-02,6.059848e-02,2.772096e-02,6.475677e-02,3.914283e-02
1.265000e+02,5.112898e-02,5.738434e-02,4.561398e-02,2.749296e-02,7.169360e-02,3.817417e-02
1.270000e+02,4.962856e-02,5.357744e-02,4.286311e-02,2.670299e-02,6.770750e-02,2.533335e-02
1.275000e+02,5.095738e-02,4.937406e-02,4.328837e-02,2.822317e-02,6.327848e-02,1.644295e-02
1.280000e+02,5.232742e-02,5.521276e-02,3.401061e-02,2.937060e-02,6.899436e-02,3.959403e-03
1.285000e+02,5.075860e-02,5.975726e-02,3.921701e-02,2.782862e-02,7.369142e-02,1.300483e-02
1.290000e+02,5.124874e-02,5.523713e-02,4.736589e-02,2.809363e-02,6.952268e-02,3.786113e-02
1.295000e+02,5.254347e-02,5.237602e-02,4.558109e-02,2.938797e-02,6.656669e-02,3.354377e-02
1.300000e+02,5.187616e-02,5.961677e-02,4.775620e-02,2.886597e-02,7.365043e-02,2.686257e-02
1.305000e+02,5.038356e-02,5.712677e-02,5.977207e-02,2.696541e-02,7.102560e-02,2.965655e-02
1.310000e+02,5.079028e-02,4.942681e-02,5.788201e-02,2.775303e-02,6.326536e-02,2.643276e-02
1.315000e+02,5.332940e-02,5.486267e-02,4.932319e-02,2.988133e-02,6.900449e-02,3.582861e-02
1.320000e+02,5.239591e-02,5.808475e-02,5.593709e-02,2.823419e-02,7.227342e-02,4.304789e-02
1.325000e+02,5.191383e-02,5.369450e-02,5.625679e-02,2.839642e-02,6.782370e-02,3.873135e-02
1.330000e+02,5.365908e-02,5.574678e-02,5.904224e-02,3.035796e-02,6.958233e-02,3.030093e-02
1.335000e+02,5.212614e-02,5.758502e-02,5.287627e-02,2.832823e-02,7.144616e-02,2.206597e-02
1.340000e+02,5.128679e-02,5.732244e-02,4.402137e-02,2.789681e-02,7.146526e-02,2.883142e-02
1.345000e+02,5.290418e-02,5.567756e-02,3.866822e-02,3.004380e-02,6.986132e-02,2.352675e-02
1.350000e+02,5.073452e-02,5.942725e-02,2.514503e-02,2.715197e-02,7.368806e-02,1.092588e-02
1.355000e+02,5.070506e-02,5.844493e-02,3.222856e-02,2.713435e-02,7.230805e-02,4.607494e-03
1.360000e+02,5.141223e-02,5.311025e-02,5.286962e-02,2.854475e-02,6.697712e-02,2.240939e-02
1.365000e+02,5.105844e-02,5.587528e-02,5.566520e-02,2.787231e-02,6.997154e-02,3.635434e-02
1.370000e+02,5.073356e-02,5.819597e-02,5.277039e-02,2.764484e-02,7.233778e-02,3.520848e-02
1.375000e+02,5.194858e-02,5.501546e-02,5.220664e-02,2.920746e-02,6.922361e-02,4.097647e-02
1.380000e+02,5.235095e-02,5.422941e-02,5.499205e-02,2.916100e-02,6.822098e-02,3.207558e-02
1.385000e+02,5.236421e-02,5.540909e-02,5.827424e-02,2.898555e-02,6.922884e-02,2.683944e-02
1.390000e+02,5.252521e-02,5.632058e-02,5.270562e-02,2.929294e-02,7.028722e-02,2.894517e-02
1.395000e+02,5.147012e-02,5.694292e-02,5.388552e-02,2.850972e-02,7.104015e-02,3.454881e-02
1.400000e+02,5.077551e-02,5.895577e-02,5.027200e-02,2.798471e-02,7.322266e-02,3.967230e-02
1.405000e+02,5.227540e-02,5.595985e-02,4.878032e-02,2.863607e-02,7.011708e-02,3.355042e-02
1.410000e+02,5.152980e-02,5.336464e-02,5.144604e-02,2.793091e-02,6.720480e-02,2.032257e-02
1.415000e+02,5.245079e-02,5.768586e-02,5.241127e-02,2.925174e-02,7.159450e-02,2.599048e-02
1.420000e+02,5.205876e-02,5.540044e-02,4.113813e-02,2.807611e-02,6.940646e-02,1.875780e-02
1.425000e+02,5.282153e-02,5.007109e-02,2.411467e-02,2.918249e-02,6.417018e-02,1.013037e-02
1.430000e+02,5.219968e-02,5.281338e-02,3.436747e-02,2.939617e-02,6.699519e-02,2.251375e-02
1.435000e+02,5.175779e-02,5.817718e-02,4.937738e-02,2.825360e-02,7.212999e-02,2.392145e-02
1.440000e+02,5.195773e-02,5.392803e-02,5.823539e-02,2.797679e-02,6.782971e-02,3.019846e-02
1.445000e+02,5.116112e-02,5.071571e-02,6.438503e-02,2.795656e-02,6.466876e-02,3.720949e-02
1.450000e+02,5.123978e-02,5.710699e-02,5.640889e-02,2.780866e-02,7.124407e-02,3.843309e-02
1.455000e+02,5.102926e-02,6.011514e-02,4.143310e-02,2.772437e-02,7.430363e-02,2.835269e-02
